Data,Valor,Identificador,Descrição
02/05/2026,258.30,aac29f1f-abd2-4904-a34b-d0604212f36e,Transferência recebida pelo Pix - Ana Paula Lima - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-390.49,ea0b3196-ce25-4049-9615-bce1ef7f51af,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,296.59,0185f997-954a-4554-a0ce-40e8708f2627,Transferência recebida pelo Pix - Leandro Oliveira Cardoso - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-49.12,93429410-7525-4451-a93a-7a40332d72c4,Transferência enviada pelo Pix - Leandro Oliveira Cardoso - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-357.05,561a5b9a-a63f-4f63-8818-8dc0fb99e980,Transferência enviada pelo Pix - Maria Silva Santos - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-103.24,224fc344-d4b9-4d30-9502-bc145b5e6e43,Transferência enviada pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-182.16,94581783-0f85-4691-969e-8ed01295992d,Transferência enviada pelo Pix - Ana Paula Lima - 11.289.988/0001-77 - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,156.67,15049bb1-4bc7-4f99-bcce-1cef276965ab,Transferência recebida pelo Pix - Leandro Oliveira Cardoso - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-422.93,20134a8b-6f09-401f-833c-271c62fa1ae7,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,145.89,9686a63b-5340-4da2-95ca-f3753581152b,Transferência recebida pelo Pix - Maria Silva Santos - 11.289.988/0001-77 - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-118.51,34a24746-b1d2-4a1d-b497-d766f991f735,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-415.96,3c6df1a9-1b27-4202-be55-015efe836244,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - BANCO BRADESCO S.A. (0237) Agência: 1234 Conta: 56789-0
02/05/2026,-344.15,decef093-b60b-4dd6-a402-95ae3e9b9979,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-65.23,b178ac53-891f-4e90-9935-e4fab2b6f002,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - 11.289.988/0001-77 - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-413.88,84e4d3b3-6505-4138-b761-0bf05a3dd967,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-18.26,58fcbc89-3660-4bea-b897-a13b304024b9,Transferência enviada pelo Pix - Maria Silva Santos - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-85.58,38504663-1715-4bc5-983b-5e39b776c529,Transferência enviada pelo Pix - Leandro Oliveira Cardoso - •••.349.203-•• - BANCO BRADESCO S.A. (0237) Agência: 1234 Conta: 56789-0
02/05/2026,-51.22,cba39b53-0f17-4563-90fa-d07c0a124a0c,Transferência enviada pelo Pix - Ana Paula Lima - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-224.87,03671d9b-cf18-492a-8bc4-46ce711d5fe5,Transferência enviada pelo Pix - Maria Silva Santos - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-138.97,1a8a9344-7040-4927-97b0-5f98eedd9260,Transferência enviada pelo Pix - Leandro Oliveira Cardoso - 11.289.988/0001-77 - BANCO BRADESCO S.A. (0237) Agência: 1234 Conta: 56789-0
02/05/2026,-354.87,e77ce089-c749-4844-877d-f1a155a942d7,Transferência enviada pelo Pix - Maria Silva Santos - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,383.32,4a62e8d7-6962-4e57-b3f2-7f2087cec75f,Transferência recebida pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-357.47,f62646f8-4967-489b-af59-d47480c9072e,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-120.86,de538f34-5e85-4b52-b6d7-a870e18c7438,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - BANCO BRADESCO S.A. (0237) Agência: 1234 Conta: 56789-0
02/05/2026,-48.60,b84556a1-394e-4433-b183-2fbb999e9808,Transferência enviada pelo Pix - Mercadinho Preço Bom - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,461.31,3a544f4b-3029-44c5-b779-c261629c6fd3,Transferência recebida pelo Pix - Leandro Oliveira Cardoso - 11.289.988/0001-77 - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,45.14,70cb1667-72a8-419c-a36e-34ec6ce28dc1,Transferência recebida pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-138.36,88ee762c-5157-4fd8-ada6-e2a16b86ce2a,Transferência enviada pelo Pix - Leandro Oliveira Cardoso - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-223.20,a83a987f-7163-4027-a670-68e8c18699b1,Transferência enviada pelo Pix - Mercadinho Preço Bom - 11.289.988/0001-77 - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,220.95,718b8362-6704-491f-a47a-330c13cbeb69,Transferência recebida pelo Pix - COMERCIAL SAO BERNARDO LTDA - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,350.78,50054ebc-b41f-4237-920b-3985daec0a91,Transferência recebida pelo Pix - Leandro Oliveira Cardoso - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,52.47,08982cbe-7776-495c-ba01-6dabeabf9b0e,Transferência recebida pelo Pix - Mercadinho Preço Bom - 11.289.988/0001-77 - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-430.40,9b177c4d-01ec-496e-ac03-aa7b92f3ec26,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-163.93,2a56441c-eda7-4d65-97d7-ea8877b297ab,Transferência enviada pelo Pix - Ana Paula Lima - 11.289.988/0001-77 - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-63.52,e108bcb1-3f4a-4670-93d7-f05e52ac0a18,Transferência enviada pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-413.95,bb384154-a4b4-4a3e-b8e1-2d0a585e45c5,Transferência enviada pelo Pix - COMERCIAL SAO BERNARDO LTDA - 11.289.988/0001-77 - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,-147.73,35dcfd27-cf52-4ff2-9bd9-cb68aae52b33,Transferência enviada pelo Pix - Maria Silva Santos - 11.289.988/0001-77 - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-184.88,9a874a7b-a27f-4cf5-8bbd-00979febf9f0,Transferência enviada pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - ITAU UNIBANCO S.A. (0341) Agência: 0100 Conta: 12345-6
02/05/2026,-279.50,13a7fac7-7a5a-40b5-9342-bd18c0e12ebb,Transferência enviada pelo Pix - Valdivan Santos Almeida - •••.349.203-•• - BCO DO BRASIL S.A. (0001) Agência: 2555 Conta: 39716-4
02/05/2026,52.52,3fc31259-b0ca-4a3d-9938-c34a2b83f13e,Transferência recebida pelo Pix - Mercadinho Preço Bom - •••.349.203-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 77345795-4
02/05/2026,-429.87,199115db-bb89-46d0-bd3c-bd79cec8da1e,Transferência enviada pelo Pix - Maria Silva Santos - •••.349.203-•• - BANCO BRADESCO S.A. (0237) Agência: 1234 Conta: 56789-0
